source_dir,algorithm,reward_name,reward_key,episodes,policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
outputs_q_learning0105_03,Q-learning,TimeOfUse reward,timeofuse,30.0,Q-learning (TimeOfUse reward),1262.318,,1110.207,0.9258,,,-1856.924,,,,,-19.815,236.83,,-3864.967
outputs_q_learning0105_06,Q-learning,TimeOfUse reward,timeofuse,50.0,Q-learning (TimeOfUse reward),1070.895,28.531,1042.364,0.4067,,,-1605.591,,,,,-1.58,162.05,,-1477.415
outputs_q_learning0205_02,Q-learning,TimeOfUse reward,timeofuse,50.0,Q-learning (TimeOfUse reward),1812.811,165.62,1647.192,0.6094,0.0789,0.5305,-3689.253,0.7367,0.7469,1.4063,2.0717,56.011,385.69,,-3576.105
outputs_q_learning0305_02,Q-learning,TimeOfUse reward,timeofuse,50.0,Q-learning (TimeOfUse reward),1812.811,165.62,1647.192,0.6094,0.0789,0.5305,-3689.253,0.7367,0.7469,1.4063,2.0717,56.011,382.1,,-3576.105
outputs_q_learning1804_05,Q-learning,TimeOfUse reward,timeofuse,50.0,Q-learning (TimeOfUse reward),2102.194,,1977.279,0.6039,,,-3733.077,,,,,48.989,720.96,,-3124.316
outputs_q_learning1804_05_200_copy,Q-learning,TimeOfUse reward,timeofuse,200.0,Q-learning (TimeOfUse reward),1240.166,,1072.375,0.9268,,,-1425.787,,,,,69.907,1562.67,,-2321.784
outputs_q_learning2404_02_01,Q-learning,Weather reward,weather,1.0,Q-learning (Weather reward),1549.233,,1404.143,0.7248,,,-4934.849,,,,,62.407,7.68,,-13097.799
outputs_q_learning0105_02,Q-learning,Weather reward,weather,2.0,Q-learning (Weather reward),1504.786,,1269.645,0.7904,,,-4856.134,,,,,-42.829,19.36,,-13080.167
outputs_q_learning1804_05_2,Q-learning,Weather reward,weather,2.0,Q-learning (Weather reward),1838.63,,1690.903,0.5755,,,-5854.641,,,,,55.385,15.93,,-13147.155
outputs_q_learning1804_05,Q-learning,Weather reward,weather,50.0,Q-learning (Weather reward),1673.256,,1564.133,0.6458,,,-5111.231,,,,,59.398,444.85,,-7545.36
outputs_q_learning1804_03,Q-learning,Weather reward,weather,200.0,Q-learning (Weather reward),1209.938,,1062.188,0.9318,,,-3741.188,,,,,70.64,1539.26,82.0,-4688.99
outputs_q_learning1804_05_200_copy,Q-learning,Weather reward,weather,200.0,Q-learning (Weather reward),1209.938,,1062.188,0.9318,,,-3741.188,,,,,70.64,1550.2,82.0,-4688.99
